Country,Admin 1,Admin 2,Market Name,Commodity,Price Type,Price Date,Collection Frequency,Price,Unit,Currency,Data Source,Trend,Pewi,ALPS Phase,Data Type,Upper (95%) CI,Lower (95%) CI,Forecast Methodology
Kenya,Rift Valley,Turkana,Aposta,Beans,Retail,15-06-24,Monthly,178,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Aposta,Beans,Retail,15-09-24,Monthly,140,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Aposta,"Maize (white, dry)",Retail,15-12-23,Monthly,100,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Aposta,"Maize (white, dry)",Retail,15-03-24,Monthly,83,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Aposta,"Maize (white, dry)",Retail,15-06-24,Monthly,96,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Aposta,"Maize (white, dry)",Retail,15-09-24,Monthly,104,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Aposta,Maize flour (white),Retail,15-12-23,Monthly,112,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Aposta,Maize flour (white),Retail,15-03-24,Monthly,100,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Aposta,Maize flour (white),Retail,15-06-24,Monthly,108,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Aposta,Maize flour (white),Retail,15-09-24,Monthly,100,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Aposta,Maize flour (white),Retail,15-12-24,Monthly,100,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Aposta,"Oil (vegetable, fortified)",Retail,15-12-23,Monthly,290,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Aposta,"Oil (vegetable, fortified)",Retail,15-03-24,Monthly,283,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Aposta,"Oil (vegetable, fortified)",Retail,15-06-24,Monthly,283,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Aposta,"Oil (vegetable, fortified)",Retail,15-09-24,Monthly,267,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Aposta,"Oil (vegetable, fortified)",Retail,15-12-24,Monthly,300,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Samburu,Archers Post,Beans,Retail,15-09-24,Monthly,103,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Samburu,Archers Post,Kale,Retail,15-09-24,Monthly,52,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Samburu,Archers Post,"Maize (white, dry)",Retail,15-09-24,Monthly,50,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Samburu,Archers Post,Maize flour (white),Retail,15-09-24,Monthly,77,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Samburu,Archers Post,"Oil (vegetable, fortified)",Retail,15-09-24,Monthly,243,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Mandera,Ashabito,Beans,Retail,15-12-23,Monthly,259,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Mandera,Ashabito,Beans,Retail,15-03-24,Monthly,200,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Mandera,Ashabito,Kale,Retail,15-12-23,Monthly,140,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Mandera,Ashabito,"Maize (white, dry)",Retail,15-12-23,Monthly,97,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Mandera,Ashabito,Maize flour (white),Retail,15-12-23,Monthly,195,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Mandera,Ashabito,"Oil (vegetable, fortified)",Retail,15-12-23,Monthly,395,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
