admin_1,admin_2,market_name,commodity,price_type,price_date,price,unit,year_month
Coast,Tana River,Bangale,Maize flour (white),Retail,2024-03-15,90.0,KG,2024-03
Coast,Tana River,Bangale,Maize flour (white),Retail,2024-06-15,78.0,KG,2024-06
Coast,Tana River,Bangale,Maize flour (white),Retail,2024-09-15,75.0,KG,2024-09
Coast,Tana River,Bangale,Maize flour (white),Retail,2024-12-15,73.0,KG,2024-12
Coast,Tana River,Bangale,Maize flour (white),Retail,2025-03-15,91.0,KG,2025-03
Coast,Tana River,Bangale,"Oil (vegetable, fortified)",Retail,2023-12-15,295.0,L,2023-12
Coast,Tana River,Bangale,"Oil (vegetable, fortified)",Retail,2024-03-15,308.0,L,2024-03
Coast,Tana River,Bangale,"Oil (vegetable, fortified)",Retail,2024-06-15,300.0,L,2024-06
Coast,Tana River,Bangale,"Oil (vegetable, fortified)",Retail,2024-09-15,305.0,L,2024-09
Coast,Tana River,Bangale,"Oil (vegetable, fortified)",Retail,2024-12-15,317.0,L,2024-12
Coast,Tana River,Bangale,"Oil (vegetable, fortified)",Retail,2025-03-15,311.0,L,2025-03
Coast,Mombasa,Bangladesh (Mombasa),Beans (dry),Retail,2021-01-15,80.0,KG,2021-01
Coast,Mombasa,Bangladesh (Mombasa),Beans (dry),Retail,2021-03-15,100.0,KG,2021-03
Coast,Mombasa,Bangladesh (Mombasa),Beans (dry),Retail,2021-04-15,106.363638,KG,2021-04
Coast,Mombasa,Bangladesh (Mombasa),Beans (dry),Retail,2021-08-15,111.333333,KG,2021-08
Coast,Mombasa,Bangladesh (Mombasa),Beans (dry),Retail,2021-09-15,106.0,KG,2021-09
Coast,Mombasa,Bangladesh (Mombasa),Beans (dry),Retail,2021-10-15,120.0,KG,2021-10
Coast,Mombasa,Bangladesh (Mombasa),Beans (dry),Retail,2021-11-15,109.3333,KG,2021-11
Coast,Mombasa,Bangladesh (Mombasa),Kale,Retail,2021-01-15,10.0,Bunch,2021-01
Coast,Mombasa,Bangladesh (Mombasa),Maize,Retail,2021-04-15,45.0,KG,2021-04
Coast,Mombasa,Bangladesh (Mombasa),Maize,Retail,2021-08-15,51.666666,KG,2021-08
Coast,Mombasa,Bangladesh (Mombasa),Maize,Retail,2021-09-15,50.0,KG,2021-09
Coast,Mombasa,Bangladesh (Mombasa),Maize,Retail,2021-10-15,55.0,KG,2021-10
Coast,Mombasa,Bangladesh (Mombasa),Maize,Retail,2021-11-15,52.5,KG,2021-11
Coast,Mombasa,Bangladesh (Mombasa),Maize flour,Retail,2021-01-15,56.6666,KG,2021-01
Coast,Mombasa,Bangladesh (Mombasa),Maize flour,Retail,2021-03-15,51.16662,KG,2021-03
Coast,Mombasa,Bangladesh (Mombasa),Maize flour,Retail,2021-04-15,51.767627,KG,2021-04
Coast,Mombasa,Bangladesh (Mombasa),Maize flour,Retail,2021-08-15,51.388866,KG,2021-08
Coast,Mombasa,Bangladesh (Mombasa),Maize flour,Retail,2021-09-15,54.1666,KG,2021-09
Coast,Mombasa,Bangladesh (Mombasa),Maize flour,Retail,2021-10-15,50.0,KG,2021-10
Coast,Mombasa,Bangladesh (Mombasa),Maize flour,Retail,2021-11-15,50.0,KG,2021-11
Coast,Mombasa,Bangladesh (Mombasa),"Milk (cow, fresh)",Retail,2021-04-15,80.0,L,2021-04
Coast,Mombasa,Bangladesh (Mombasa),"Milk (cow, fresh)",Retail,2021-08-15,100.0,L,2021-08
Coast,Mombasa,Bangladesh (Mombasa),Oil (vegetable),Retail,2021-01-15,180.0,L,2021-01
Coast,Mombasa,Bangladesh (Mombasa),Oil (vegetable),Retail,2021-03-15,200.0,L,2021-03
Coast,Mombasa,Bangladesh (Mombasa),Oil (vegetable),Retail,2021-04-15,199.204545,L,2021-04
Coast,Mombasa,Bangladesh (Mombasa),Oil (vegetable),Retail,2021-08-15,207.777766,L,2021-08
